review_id,listing_id,user_id,review_text,sentiment_score,phrase_sentiments,sentiment_label
R00001,L0001,U0129,Stayed here for a week and loved every minute. Midtown Manhattan has so much character. Great coffee shops nearby.,0.33685862068965516,"[('Great coffee shops', 0.6249), ('Midtown Manhattan', 0.0), ('Great coffee shops nearby.', 0.6249), ('Stayed here for a week and loved every minute.', 0.5994), ('Midtown Manhattan has so much character.', 0.0), ('a week', 0.0), ('so much character', 0.0)]",positive
R00002,L0001,U0129,"Great location, just 9 minutes from Lexington Ave/59th St. The Carbon monoxide alarm was a huge plus. Would definitely stay here again!",0.36830000000000007,"[('Would definitely stay here again!', 0.4574), ('Lexington Ave/59th St. The Carbon monoxide alarm', -0.34), ('Great location, just 9 minutes from Lexington Ave/59th St. The Carbon monoxide alarm was a huge plus.', 0.6124), ('Great location', 0.6249), ('a huge plus', 0.3182)]",positive
R00003,L0001,U0129,Beautiful apartment in a great part of New York. The host thought of everything. Five stars all around.,0.35451000000000005,"[('Five stars all around.', 0.0), ('The host thought of everything.', 0.0), ('The host', 0.0), ('Beautiful apartment in a great part of New York.', 0.8402), ('everything', 0.0), ('Beautiful apartment', 0.5994), ('New York', 0.0), ('a great part', 0.6249), ('Five stars', 0.0)]",positive
R00004,L0001,U0131,Perfect for our business trip. Close to Central Park and the host was incredibly responsive. Highly recommend.,0.3291958333333333,"[('Perfect for our business trip.', 0.5719), ('the host', 0.0), ('Close to Central Park and the host was incredibly responsive.', 0.4201), ('Highly recommend.', 0.4201), ('Central Park', 0.0), ('our business trip', 0.0)]",positive
R00005,L0001,U0129,"Wonderful host, beautiful space in Midtown Manhattan. Loved having Carbon monoxide alarm available. Will be back!",0.36989200000000005,"[('Wonderful host, beautiful space in Midtown Manhattan.', 0.8225), ('Midtown Manhattan', 0.0), ('beautiful space', 0.5994), ('Will be back!', 0.0), ('Carbon monoxide alarm', -0.34), ('Wonderful host', 0.5719), ('Loved having Carbon monoxide alarm available.', 0.3612)]",positive
R00006,L0002,U0148,Fantastic place for a romantic getaway. The Iron was a highlight and the neighborhood felt very safe.,0.5335571428571428,"[('The Iron', 0.0), ('Fantastic place for a romantic getaway.', 0.743), ('Fantastic place', 0.5574), ('the neighborhood', 0.0), ('The Iron was a highlight and the neighborhood felt very safe.', 0.6801), ('a highlight', 0.34), ('a romantic getaway', 0.4019)]",positive
R00007,L0002,U0009,Spacious and well-maintained. Walking distance to Montgomery St BART and several great restaurants. Highly recommend for anyone visiting San Francisco.,0.3688133333333334,"[('Montgomery St BART', 0.0), ('Walking distance to Montgomery St BART and several great restaurants.', 0.6249), ('Highly recommend for anyone visiting San Francisco.', 0.4201), ('several great restaurants', 0.6249), ('San Francisco', 0.0), ('Spacious and well-maintained.', 0.0), ('anyone', 0.0), ('distance', 0.0)]",positive
R00008,L0002,U0125,One of the best Airbnbs we have stayed at. The location near Montgomery St BART made getting around so easy.,0.48267241379310344,"[('The location', 0.0), ('Montgomery St BART', 0.0), ('The location near Montgomery St BART made getting around so easy.', 0.5777), ('One of the best Airbnbs we have stayed at.', 0.6369), ('the best Airbnbs', 0.6369), ('we', 0.0)]",positive
R00009,L0002,U0009,Loved this place! The neighborhood (Marina District) was vibrant and walkable. Iron made the stay so comfortable.,0.3835538461538462,"[('Iron', 0.0), ('this place', 0.0), ('The neighborhood', 0.0), ('Marina District', 0.0), ('Loved this place!', 0.636), ('The neighborhood (Marina District) was vibrant and walkable.', 0.5267), ('Iron made the stay so comfortable.', 0.6418), ('the stay', 0.0)]",positive
R00010,L0002,U0153,Fine for a short stay. The Iron worked well but the street noise at night was noticeable.,0.10379615384615384,"[('The Iron', 0.0), ('night', 0.0), ('a short stay', 0.0), ('The Iron worked well but the street noise at night was noticeable.', 0.1406), ('the street noise', 0.0), ('Fine for a short stay.', 0.2023)]",positive
